Product ID*;Attribute (Name:Type:Position)*;Value (Value:Position)*;Quantity;Minimal quantity
11;Size:select:6;40:6;15;1
11;Size:select:7;42:7;6;1
11;Size:select:8;44:8;16;1
12;Size:select:1;176:1;12;1
12;Size:select:2;122/128:2;22;1
12;Size:select:3;128/134:3;12;1
12;Size:select:4;134/140:4;9;1
12;Size:select:5;146/152:5;2;1
12;Size:select:6;158/164:6;20;1
12;Size:select:7;170/176:7;14;1
13;Size:select:1;122/134:1;2;1
13;Size:select:2;134/140:2;17;1
13;Size:select:3;152/164:3;22;1
13;Size:select:4;164/176:4;1;1
14;Size:select:1;36:1;23;1
14;Size:select:2;38:2;17;1
14;Size:select:3;39:3;12;1
14;Size:select:4;40:4;5;1
14;Size:select:5;41:5;4;1
15;Size:select:1;XXS:1;22;1
15;Size:select:2;XS:2;21;1
15;Size:select:3;S:3;27;1
15;Size:select:4;M:4;1;1
15;Size:select:5;L:5;17;1
15;Size:select:6;XL:6;14;1
16;Size:select:1;XS:1;22;1
16;Size:select:2;S:2;13;1
16;Size:select:3;M:3;4;1
16;Size:select:4;L:4;23;1
16;Size:select:5;XL:5;8;1
16;Size:select:6;XXL:6;29;1
17;Size:select:1;122/128:1;0;1
17;Size:select:2;128/134:2;7;1
17;Size:select:3;134/140:3;1;1
17;Size:select:4;146/152:4;3;1
17;Size:select:5;158/164:5;11;1
17;Size:select:6;170/176:6;6;1
18;Size:select:1;80:1;8;1
18;Size:select:2;85:2;25;1
18;Size:select:3;90:3;24;1
18;Size:select:4;95:4;27;1
18;Size:select:5;100:5;17;1
19;Size:select:1;XS:1;22;1
19;Size:select:2;S:2;28;1
19;Size:select:3;M:3;15;1
19;Size:select:4;L:4;8;1
20;Size:select:1;140-152:1;19;1
20;Size:select:2;152-164:2;9;1
20;Size:select:3;164-176:3;20;1
22;Size:select:1;116:1;13;1
22;Size:select:2;122/128:2;25;1
22;Size:select:3;134/140:3;4;1
22;Size:select:4;146/152:4;13;1
23;Size:select:1;35.5:1;5;1
23;Size:select:2;36.5:2;22;1
23;Size:select:3;38:3;17;1
23;Size:select:4;39:4;4;1
23;Size:select:5;40.5:5;29;1
23;Size:select:6;42:6;28;1
23;Size:select:7;43:7;29;1
25;Size:select:1;S:1;29;1
25;Size:select:2;M:2;4;1
25;Size:select:3;L:3;9;1
25;Size:select:4;XL:4;11;1
25;Size:select:5;XXL:5;15;1
26;Size:select:1;S:1;2;1
26;Size:select:2;M:2;9;1
26;Size:select:3;L:3;21;1
26;Size:select:4;XL:4;28;1
26;Size:select:5;XXL:5;12;1
27;Size:select:1;XS:1;11;1
27;Size:select:2;M:2;4;1
27;Size:select:3;L:3;10;1
27;Size:select:4;XL:4;9;1
27;Size:select:5;XXL:5;24;1
28;Size:select:1;XS:1;4;1
28;Size:select:2;S:2;5;1
28;Size:select:3;M:3;3;1
28;Size:select:4;L:4;2;1
29;Size:select:1;36:1;5;1
29;Size:select:2;37:2;3;1
29;Size:select:3;38:3;3;1
29;Size:select:4;39:4;13;1
29;Size:select:5;40:5;10;1
30;Size:select:1;134:1;13;1
30;Size:select:2;140:2;24;1
30;Size:select:3;146:3;17;1
30;Size:select:4;152:4;2;1
30;Size:select:5;164:5;8;1
30;Size:select:6;170:6;15;1
31;Size:select:1;XS:1;6;1
31;Size:select:2;S:2;7;1
31;Size:select:3;M:3;10;1
31;Size:select:4;L:4;25;1
32;Size:select:1;XXS:1;25;1
32;Size:select:2;XS:2;22;1
32;Size:select:3;S:3;8;1
32;Size:select:4;M:4;10;1
32;Size:select:5;L:5;12;1
33;Size:select:1;30:1;13;1
33;Size:select:2;32:2;29;1
33;Size:select:3;34:3;28;1
33;Size:select:4;36:4;11;1
33;Size:select:5;38:5;8;1
33;Size:select:6;40:6;2;1
33;Size:select:7;42:7;20;1
33;Size:select:8;44:8;24;1
34;Size:select:1;38.5:1;3;1
34;Size:select:2;39:2;10;1
34;Size:select:3;40:3;18;1
34;Size:select:4;40.5:4;12;1
34;Size:select:5;41:5;1;1
34;Size:select:6;42:6;26;1
34;Size:select:7;42.5:7;22;1
34;Size:select:8;43:8;26;1
34;Size:select:9;44:9;25;1
34;Size:select:10;44.5:10;20;1
34;Size:select:11;45:11;29;1
34;Size:select:12;45.5:12;28;1
34;Size:select:13;46:13;21;1
34;Size:select:14;47:14;15;1
34;Size:select:15;47.5:15;7;1
34;Size:select:16;48.5:16;12;1
34;Size:select:17;49.5:17;12;1
35;Size:select:1;23:1;5;1
35;Size:select:2;24:2;4;1
35;Size:select:3;25:3;23;1
35;Size:select:4;26:4;14;1
35;Size:select:5;27:5;14;1
35;Size:select:6;28:6;2;1
35;Size:select:7;29:7;26;1
35;Size:select:8;30:8;25;1
35;Size:select:9;31:9;20;1
35;Size:select:10;32:10;18;1
37;Size:select:1;S:1;6;1
37;Size:select:2;M:2;4;1
37;Size:select:3;L:3;22;1
37;Size:select:4;XL:4;5;1
37;Size:select:5;XXL:5;8;1
38;Size:select:1;30:1;22;1
38;Size:select:2;32:2;29;1
38;Size:select:3;34:3;13;1
38;Size:select:4;36:4;21;1
38;Size:select:5;40:5;20;1
38;Size:select:6;42:6;3;1
38;Size:select:7;44:7;5;1
39;Size:select:1;XXS:1;10;1
39;Size:select:2;XS:2;17;1
39;Size:select:3;S:3;29;1
39;Size:select:4;M:4;0;1
39;Size:select:5;L:5;1;1
40;Size:select:1;44/46:1;9;1
40;Size:select:2;48/50:2;11;1
40;Size:select:3;52/54:3;21;1
41;Size:select:1;24:1;28;1
41;Size:select:2;25:2;21;1
41;Size:select:3;28:3;15;1
41;Size:select:4;29:4;28;1
41;Size:select:5;30:5;3;1
41;Size:select:6;31:6;28;1
41;Size:select:7;32:7;27;1
41;Size:select:8;33:8;9;1
41;Size:select:9;35:9;19;1
42;Size:select:1;50/56:1;8;1
42;Size:select:2;56/68:2;21;1
42;Size:select:3;80/86:3;16;1
42;Size:select:4;86/92:4;10;1
43;Size:select:1;One Size:1;8;1
44;Size:select:1;XS:1;15;1
44;Size:select:2;S:2;21;1
44;Size:select:3;M:3;2;1
44;Size:select:4;L:4;15;1
45;Size:select:1;XS:1;20;1
45;Size:select:2;S:2;5;1
45;Size:select:3;M:3;21;1
45;Size:select:4;L:4;1;1
46;Size:select:1;XXS:1;16;1
46;Size:select:2;XS:2;22;1
46;Size:select:3;S:3;8;1
46;Size:select:4;M:4;29;1
46;Size:select:5;L:5;23;1
46;Size:select:6;XL:6;5;1
47;Size:select:1;122/134:1;15;1
47;Size:select:2;134/140:2;14;1
47;Size:select:3;152/164:3;0;1
47;Size:select:4;164/176:4;16;1
48;Size:select:1;XS:1;13;1
48;Size:select:2;S:2;29;1
48;Size:select:3;M:3;20;1
48;Size:select:4;L:4;15;1
48;Size:select:5;XL:5;19;1
48;Size:select:6;XXL:6;23;1
48;Size:select:7;3XL:7;1;1
49;Size:select:1;36:1;9;1
49;Size:select:2;36.5:2;25;1
49;Size:select:3;37.5:3;20;1
49;Size:select:4;38:4;23;1
49;Size:select:5;38.5:5;13;1
49;Size:select:6;39:6;28;1
50;Size:select:1;35.5:1;17;1
50;Size:select:2;36.5:2;24;1
50;Size:select:3;37.5:3;2;1
50;Size:select:4;38:4;2;1
50;Size:select:5;38.5:5;8;1
50;Size:select:6;39:6;27;1
50;Size:select:7;40:7;15;1
51;Size:select:1;XXS:1;18;1
51;Size:select:2;XS:2;5;1
51;Size:select:3;S:3;29;1
51;Size:select:4;M:4;26;1
51;Size:select:5;L:5;5;1
51;Size:select:6;XL:6;23;1
52;Size:select:1;122/128:1;20;1
52;Size:select:2;128/134:2;3;1
52;Size:select:3;134/140:3;4;1
52;Size:select:4;146/152:4;21;1
52;Size:select:5;158/164:5;24;1
53;Size:select:1;XS:1;5;1
53;Size:select:2;S:2;7;1
53;Size:select:3;M:3;4;1
53;Size:select:4;L:4;3;1
53;Size:select:5;XXL:5;11;1
54;Size:select:1;98:1;18;1
54;Size:select:2;104:2;0;1
54;Size:select:3;110:3;1;1
54;Size:select:4;116:4;8;1
54;Size:select:5;140:5;14;1
54;Size:select:6;152:6;11;1
54;Size:select:7;164:7;10;1
54;Size:select:8;176:8;0;1
55;Size:select:1;S:1;7;1
55;Size:select:2;M:2;2;1
55;Size:select:3;L:3;23;1
55;Size:select:4;XL:4;21;1
55;Size:select:5;XXL:5;4;1
56;Size:select:1;M:1;21;1
56;Size:select:2;L:2;3;1
56;Size:select:3;XL:3;6;1
56;Size:select:4;XXL:4;16;1
57;Size:select:1;92:1;14;1
57;Size:select:2;98:2;28;1
57;Size:select:3;104:3;7;1
57;Size:select:4;110:4;29;1
57;Size:select:5;80/86:5;23;1
57;Size:select:6;86/92:6;9;1
58;Size:select:1;104/110:1;25;1
58;Size:select:2;116/122:2;3;1
58;Size:select:3;128/134:3;27;1
58;Size:select:4;140/146:4;5;1
58;Size:select:5;152/158:5;4;1
58;Size:select:6;164/176:6;26;1
59;Size:select:1;XS:1;18;1
59;Size:select:2;S:2;5;1
59;Size:select:3;M:3;23;1
59;Size:select:4;L:4;13;1
59;Size:select:5;XL:5;13;1
59;Size:select:6;XXL:6;14;1
60;Size:select:1;XS:1;1;1
60;Size:select:2;S:2;6;1
60;Size:select:3;M:3;19;1
60;Size:select:4;L:4;1;1
60;Size:select:5;XL:5;7;1
60;Size:select:6;XXL:6;25;1
61;Size:select:1;30:1;28;1
61;Size:select:2;32:2;19;1
61;Size:select:3;34:3;2;1
61;Size:select:4;36:4;0;1
61;Size:select:5;38:5;29;1
61;Size:select:6;40:6;28;1
61;Size:select:7;42:7;13;1
61;Size:select:8;44:8;17;1
62;Size:select:1;XS:1;17;1
62;Size:select:2;S:2;18;1
62;Size:select:3;M:3;22;1
62;Size:select:4;L:4;6;1
63;Size:select:1;S:1;25;1
63;Size:select:2;M:2;12;1
63;Size:select:3;XL:3;24;1
63;Size:select:4;XXL:4;20;1
64;Size:select:1;One Size:1;6;1
65;Size:select:1;S:1;5;1
65;Size:select:2;M:2;16;1
65;Size:select:3;L:3;5;1
66;Size:select:1;XS:1;6;1
66;Size:select:2;S:2;4;1
66;Size:select:3;M:3;19;1
67;Size:select:1;86:1;27;1
67;Size:select:2;104:2;29;1
67;Size:select:3;110:3;7;1
67;Size:select:4;116:4;21;1
67;Size:select:5;128:5;7;1
67;Size:select:6;140:6;1;1
67;Size:select:7;152:7;0;1
67;Size:select:8;176:8;27;1
68;Size:select:1;XS:1;13;1
68;Size:select:2;S:2;21;1
68;Size:select:3;M:3;12;1
68;Size:select:4;L:4;0;1
69;Size:select:1;104/110:1;4;1
69;Size:select:2;116/122:2;6;1
69;Size:select:3;128/134:3;25;1
69;Size:select:4;140/146:4;4;1
69;Size:select:5;152/158:5;28;1
69;Size:select:6;164/176:6;22;1
70;Size:select:1;29:1;16;1
70;Size:select:2;30:2;9;1
70;Size:select:3;31:3;29;1
70;Size:select:4;32:4;12;1
70;Size:select:5;33:5;17;1
70;Size:select:6;34:6;18;1
70;Size:select:7;35:7;0;1
70;Size:select:8;36:8;19;1
71;Size:select:1;104/110:1;10;1
71;Size:select:2;116/122:2;0;1
71;Size:select:3;128/134:3;13;1
71;Size:select:4;140/146:4;15;1
71;Size:select:5;152/158:5;1;1
71;Size:select:6;164/176:6;18;1
72;Size:select:1;104:1;24;1
72;Size:select:2;110:2;0;1
72;Size:select:3;116:3;5;1
72;Size:select:4;122:4;1;1
72;Size:select:5;128:5;21;1
72;Size:select:6;140:6;7;1
72;Size:select:7;152:7;6;1
72;Size:select:8;164:8;15;1
72;Size:select:9;176:9;17;1
73;Size:select:1;32:1;21;1
73;Size:select:2;34:2;9;1
73;Size:select:3;36:3;15;1
73;Size:select:4;38:4;12;1
73;Size:select:5;40:5;11;1
73;Size:select:6;42:6;20;1
74;Size:select:1;XS:1;14;1
74;Size:select:2;S:2;10;1
74;Size:select:3;L:3;0;1
74;Size:select:4;XL:4;17;1
75;Size:select:1;26:1;13;1
75;Size:select:2;27:2;19;1
75;Size:select:3;28:3;24;1
75;Size:select:4;29:4;19;1
75;Size:select:5;30:5;15;1
75;Size:select:6;31:6;11;1
75;Size:select:7;32:7;19;1
75;Size:select:8;33:8;20;1
75;Size:select:9;34:9;17;1
75;Size:select:10;35:10;21;1
75;Size:select:11;36:11;29;1
75;Size:select:12;37:12;13;1
75;Size:select:13;38:13;28;1
76;Size:select:1;S:1;19;1
76;Size:select:2;M:2;23;1
76;Size:select:3;L:3;5;1
76;Size:select:4;XL:4;3;1
77;Size:select:1;XS:1;1;1
77;Size:select:2;S:2;24;1
77;Size:select:3;M:3;12;1
78;Size:select:1;92:1;21;1
78;Size:select:2;98:2;15;1
78;Size:select:3;110:3;1;1
78;Size:select:4;116:4;22;1
78;Size:select:5;122:5;8;1
78;Size:select:6;128:6;2;1
78;Size:select:7;134-146:7;2;1
78;Size:select:8;152-158:8;5;1
79;Size:select:1;34:1;19;1
79;Size:select:2;38:2;28;1
79;Size:select:3;40:3;26;1
79;Size:select:4;42:4;19;1
79;Size:select:5;44:5;12;1
80;Size:select:1;XXS:1;27;1
80;Size:select:2;XS:2;18;1
80;Size:select:3;S:3;29;1
80;Size:select:4;M:4;29;1
80;Size:select:5;L:5;10;1
80;Size:select:6;XL:6;20;1
81;Size:select:1;XS:1;19;1
81;Size:select:2;S:2;2;1
81;Size:select:3;M:3;16;1
81;Size:select:4;L:4;18;1
82;Size:select:1;XXS:1;24;1
82;Size:select:2;XS:2;17;1
82;Size:select:3;S:3;8;1
82;Size:select:4;M:4;11;1
82;Size:select:5;L:5;25;1
83;Size:select:1;134:1;19;1
83;Size:select:2;140-146:2;6;1
83;Size:select:3;152-158:3;16;1
83;Size:select:4;164-176:4;12;1
84;Size:select:1;XS:1;16;1
84;Size:select:2;S:2;18;1
84;Size:select:3;M:3;25;1
84;Size:select:4;L:4;27;1
84;Size:select:5;XL:5;18;1
84;Size:select:6;XXL:6;2;1
85;Size:select:1;28:1;11;1
85;Size:select:2;29:2;12;1
85;Size:select:3;30:3;9;1
85;Size:select:4;31:4;13;1
85;Size:select:5;32:5;1;1
85;Size:select:6;33:6;18;1
85;Size:select:7;34:7;24;1
85;Size:select:8;35:8;10;1
85;Size:select:9;36:9;0;1
85;Size:select:10;38:10;0;1
86;Size:select:1;24x31:1;1;1
86;Size:select:2;25x29:2;24;1
86;Size:select:3;25x31:3;6;1
86;Size:select:4;26x29:4;23;1
86;Size:select:5;26x31:5;11;1
86;Size:select:6;26x33:6;5;1
86;Size:select:7;27x29:7;9;1
86;Size:select:8;27x31:8;5;1
86;Size:select:9;27x33:9;27;1
86;Size:select:10;27x35:10;6;1
86;Size:select:11;28x31:11;4;1
86;Size:select:12;28x33:12;29;1
86;Size:select:13;28x35:13;21;1
86;Size:select:14;29x29:14;6;1
86;Size:select:15;29x31:15;16;1
86;Size:select:16;29x33:16;13;1
86;Size:select:17;29x35:17;12;1
86;Size:select:18;30x31:18;14;1
86;Size:select:19;30x33:19;2;1
86;Size:select:20;31x31:20;24;1
86;Size:select:21;31x33:21;2;1
86;Size:select:22;32x31:22;20;1
86;Size:select:23;32x33:23;11;1
87;Size:select:1;XS:1;26;1
87;Size:select:2;S:2;29;1
87;Size:select:3;M:3;8;1
87;Size:select:4;L:4;9;1
87;Size:select:5;XL:5;18;1
87;Size:select:6;XXL:6;14;1
88;Size:select:1;One Size:1;29;1
90;Size:select:1;34:1;0;1
90;Size:select:2;38:2;6;1
90;Size:select:3;40:3;7;1
91;Size:select:1;S:1;10;1
91;Size:select:2;M:2;24;1
91;Size:select:3;L:3;25;1
91;Size:select:4;XL:4;29;1
91;Size:select:5;XXL:5;23;1
92;Size:select:1;56:1;0;1
92;Size:select:2;62:2;11;1
92;Size:select:3;68:3;8;1
92;Size:select:4;74:4;19;1
93;Size:select:1;122/128:1;0;1
93;Size:select:2;128/134:2;11;1
93;Size:select:3;134/140:3;27;1
93;Size:select:4;146/152:4;11;1
93;Size:select:5;158/164:5;20;1
93;Size:select:6;170/176:6;2;1
94;Size:select:1;5y:1;27;1
94;Size:select:2;6y:2;18;1
94;Size:select:3;7y:3;6;1
94;Size:select:4;8y:4;9;1
94;Size:select:5;9y:5;8;1
94;Size:select:6;10y:6;5;1
94;Size:select:7;11-12y:7;28;1
94;Size:select:8;13-14y:8;10;1
95;Size:select:1;XXS:1;12;1
95;Size:select:2;XS:2;9;1
95;Size:select:3;S:3;23;1
95;Size:select:4;M:4;3;1
95;Size:select:5;L:5;25;1
95;Size:select:6;XL:6;20;1
96;Size:select:1;36:1;21;1
96;Size:select:2;37:2;27;1
96;Size:select:3;38:3;6;1
96;Size:select:4;39:4;28;1
96;Size:select:5;40:5;22;1
96;Size:select:6;41:6;10;1
97;Size:select:1;116:1;12;1
97;Size:select:2;122/128:2;20;1
97;Size:select:3;134/140:3;13;1
97;Size:select:4;146/152:4;18;1
97;Size:select:5;158/164:5;14;1
98;Size:select:1;35.5:1;20;1
98;Size:select:2;36:2;16;1
98;Size:select:3;36.5:3;12;1
98;Size:select:4;37.5:4;20;1
98;Size:select:5;38:5;29;1
98;Size:select:6;38.5:6;29;1
98;Size:select:7;39:7;17;1
98;Size:select:8;40:8;17;1
99;Size:select:1;116:1;7;1
99;Size:select:2;128:2;21;1
99;Size:select:3;140:3;26;1
100;Size:select:1;34:1;23;1
100;Size:select:2;36:2;20;1
100;Size:select:3;38:3;28;1
100;Size:select:4;40:4;1;1
101;Size:select:1;110/116:1;12;1
101;Size:select:2;122/128:2;13;1
101;Size:select:3;134/140:3;12;1
101;Size:select:4;146/152:4;20;1
101;Size:select:5;158/164:5;29;1
101;Size:select:6;170/176:6;26;1
102;Size:select:1;32:1;16;1
102;Size:select:2;34:2;17;1
102;Size:select:3;36:3;28;1
102;Size:select:4;38:4;3;1
102;Size:select:5;40:5;5;1
102;Size:select:6;42:6;29;1
103;Size:select:1;44:1;19;1
103;Size:select:2;46:2;9;1
103;Size:select:3;48:3;19;1
103;Size:select:4;50:4;6;1
103;Size:select:5;52:5;5;1
104;Size:select:1;128-140:1;18;1
104;Size:select:2;140-152:2;25;1
104;Size:select:3;152-164:3;17;1
104;Size:select:4;164-176:4;19;1
105;Size:select:1;36:1;16;1
105;Size:select:2;38:2;20;1
105;Size:select:3;36 2/3:3;13;1
105;Size:select:4;37 1/3:4;10;1
105;Size:select:5;38 2/3:5;5;1
106;Size:select:1;XS:1;16;1
106;Size:select:2;S:2;18;1
106;Size:select:3;M:3;29;1
106;Size:select:4;L:4;25;1
107;Size:select:1;XXS:1;4;1
107;Size:select:2;XS:2;15;1
107;Size:select:3;S:3;0;1
107;Size:select:4;M:4;20;1
107;Size:select:5;L:5;28;1
107;Size:select:6;XL:6;29;1
107;Size:select:7;XXL:7;8;1
107;Size:select:8;3XL:8;22;1
108;Size:select:1;S:1;18;1
108;Size:select:2;M:2;17;1
108;Size:select:3;L:3;4;1
109;Size:select:1;134:1;28;1
109;Size:select:2;140/146:2;13;1
109;Size:select:3;152/158:3;17;1
109;Size:select:4;164/170:4;24;1
110;Size:select:1;One Size:1;29;1
111;Size:select:1;44/46:1;28;1
111;Size:select:2;48/50:2;7;1
111;Size:select:3;52/54:3;17;1
112;Size:select:1;XS:1;14;1
112;Size:select:2;S:2;20;1
112;Size:select:3;M:3;5;1
112;Size:select:4;L:4;25;1
112;Size:select:5;XL:5;11;1
112;Size:select:6;XXL:6;11;1
113;Size:select:1;One Size:1;25;1
114;Size:select:1;XS:1;23;1
114;Size:select:2;S:2;28;1
114;Size:select:3;M:3;10;1
114;Size:select:4;L:4;23;1
116;Size:select:1;128:1;10;1
116;Size:select:2;140:2;28;1
116;Size:select:3;152:3;17;1
116;Size:select:4;164:4;3;1
116;Size:select:5;176:5;28;1
117;Size:select:1;128:1;19;1
117;Size:select:2;140:2;29;1
117;Size:select:3;146:3;28;1
117;Size:select:4;152:4;11;1
117;Size:select:5;164:5;20;1
117;Size:select:6;170:6;28;1
118;Size:select:1;One Size:1;12;1
119;Size:select:1;80:1;29;1
119;Size:select:2;85:2;8;1
119;Size:select:3;90:3;12;1
119;Size:select:4;95:4;21;1
119;Size:select:5;100:5;2;1
119;Size:select:6;105:6;2;1
119;Size:select:7;110:7;18;1
119;Size:select:8;115:8;10;1
120;Size:select:1;20:1;7;1
120;Size:select:2;21:2;8;1
120;Size:select:3;22:3;0;1
120;Size:select:4;23:4;14;1
120;Size:select:5;24:5;4;1
120;Size:select:6;25:6;28;1
121;Size:select:1;XS:1;20;1
121;Size:select:2;S:2;19;1
121;Size:select:3;M:3;8;1
121;Size:select:4;L:4;2;1
121;Size:select:5;XL:5;5;1
121;Size:select:6;XXL:6;9;1
122;Size:select:1;XS:1;11;1
122;Size:select:2;S:2;24;1
122;Size:select:3;M:3;6;1
122;Size:select:4;L:4;6;1
122;Size:select:5;XL:5;10;1
122;Size:select:6;XXL:6;10;1
124;Size:select:1;30:1;18;1
124;Size:select:2;32:2;5;1
124;Size:select:3;34:3;0;1
124;Size:select:4;36:4;0;1
124;Size:select:5;38:5;26;1
124;Size:select:6;40:6;26;1
124;Size:select:7;42:7;16;1
124;Size:select:8;44:8;7;1
124;Size:select:9;46:9;5;1
125;Size:select:1;40:1;16;1
125;Size:select:2;41:2;28;1
125;Size:select:3;41.5:3;20;1
125;Size:select:4;42:4;23;1
125;Size:select:5;43:5;20;1
125;Size:select:6;43.5:6;10;1
125;Size:select:7;44:7;0;1
125;Size:select:8;45:8;16;1
125;Size:select:9;45.5:9;2;1
125;Size:select:10;46:10;27;1
125;Size:select:11;47.5:11;2;1
125;Size:select:12;49:12;29;1
125;Size:select:13;50:13;0;1
126;Size:select:1;XXS:1;28;1
126;Size:select:2;XS:2;9;1
126;Size:select:3;S:3;19;1
126;Size:select:4;M:4;9;1
126;Size:select:5;L:5;15;1
126;Size:select:6;XL:6;18;1
127;Size:select:1;122/128:1;1;1
127;Size:select:2;128/137:2;4;1
127;Size:select:3;137/147:3;1;1
127;Size:select:4;147/158:4;5;1
127;Size:select:5;158/170:5;10;1
128;Size:select:1;XS:1;22;1
128;Size:select:2;S:2;14;1
128;Size:select:3;M:3;13;1
128;Size:select:4;L:4;9;1
129;Size:select:1;XS:1;7;1
129;Size:select:2;S:2;12;1
129;Size:select:3;L:3;4;1
130;Size:select:1;XS:1;28;1
130;Size:select:2;S:2;26;1
130;Size:select:3;L:3;22;1
130;Size:select:4;XL:4;3;1
130;Size:select:5;XXL:5;20;1
132;Size:select:1;27:1;18;1
132;Size:select:2;28:2;9;1
132;Size:select:3;29:3;14;1
132;Size:select:4;30:4;29;1
132;Size:select:5;31:5;11;1
132;Size:select:6;32:6;8;1
132;Size:select:7;33:7;4;1
132;Size:select:8;34:8;9;1
132;Size:select:9;37:9;7;1
132;Size:select:10;38:10;11;1
132;Size:select:11;38.5:11;18;1
133;Size:select:1;37:1;6;1
133;Size:select:2;38:2;20;1
133;Size:select:3;39:3;10;1
133;Size:select:4;40:4;16;1
133;Size:select:5;41:5;11;1
133;Size:select:6;42:6;28;1
134;Size:select:1;41:1;6;1
134;Size:select:2;42:2;1;1
134;Size:select:3;43:3;14;1
134;Size:select:4;44:4;22;1
134;Size:select:5;45:5;10;1
134;Size:select:6;46:6;0;1
135;Size:select:1;104:1;6;1
135;Size:select:2;116:2;27;1
135;Size:select:3;128:3;20;1
135;Size:select:4;140:4;9;1
135;Size:select:5;152:5;19;1
136;Size:select:1;S:1;23;1
136;Size:select:2;M:2;4;1
136;Size:select:3;L:3;2;1
136;Size:select:4;XL:4;7;1
137;Size:select:1;86:1;25;1
137;Size:select:2;98:2;19;1
137;Size:select:3;104:3;1;1
137;Size:select:4;110:4;29;1
137;Size:select:5;116:5;0;1
137;Size:select:6;128:6;19;1
137;Size:select:7;140:7;20;1
137;Size:select:8;152:8;26;1
137;Size:select:9;164:9;27;1
137;Size:select:10;176:10;26;1
138;Size:select:1;XXS:1;2;1
138;Size:select:2;XS:2;11;1
138;Size:select:3;S:3;26;1
138;Size:select:4;M:4;6;1
138;Size:select:5;L:5;18;1
139;Size:select:1;110/116:1;26;1
139;Size:select:2;122/128:2;25;1
139;Size:select:3;134/140:3;22;1
139;Size:select:4;146/152:4;0;1
139;Size:select:5;158/164:5;20;1
139;Size:select:6;170/176:6;21;1
140;Size:select:1;46:1;18;1
140;Size:select:2;48:2;27;1
140;Size:select:3;50:3;7;1
140;Size:select:4;52:4;9;1
140;Size:select:5;54:5;8;1
140;Size:select:6;56:6;1;1
141;Size:select:1;102:1;20;1
141;Size:select:2;114:2;28;1
141;Size:select:3;126:3;14;1
141;Size:select:4;138:4;16;1
141;Size:select:5;150:5;3;1
141;Size:select:6;162:6;8;1
142;Size:select:1;XS:1;10;1
142;Size:select:2;S:2;11;1
142;Size:select:3;M:3;1;1
142;Size:select:4;L:4;8;1
142;Size:select:5;XL:5;17;1
143;Size:select:1;25x30:1;11;1
143;Size:select:2;25x32:2;8;1
143;Size:select:3;26x30:3;16;1
143;Size:select:4;26x32:4;4;1
143;Size:select:5;26x34:5;17;1
143;Size:select:6;27x30:6;26;1
143;Size:select:7;27x32:7;7;1
143;Size:select:8;27x34:8;18;1
143;Size:select:9;28x30:9;9;1
143;Size:select:10;28x32:10;20;1
143;Size:select:11;28x34:11;2;1
143;Size:select:12;29x30:12;12;1
143;Size:select:13;29x32:13;23;1
143;Size:select:14;29x34:14;0;1
143;Size:select:15;30x30:15;4;1
143;Size:select:16;30x32:16;12;1
